,source_sentence,ref0,hyp0,wer0,ref1,hyp1,wer1
10,я полковник а вы кто такой,я полковник а вы кто такой,я полковник а вы кто такой,0.0,я полковник а вы кто такой,я полковник а вы такой,0.16666666666666666
11,вы хотите эээ получить ээ юридическую консультацию,вы хотите эээ получить ээ юридическую консультацию,вы хотите вы получить э юридическую консультацию,0.2857142857142857,вы хотите эээ получить ээ юридическую консультацию,вы хотите получить э пуслично ээээ,0.5714285714285714
12,давай записывай адрес и ещё я буду звонить ещё раз чтоб вам туда попасть короче я не знаю куда и зачем мне это всё надо вот я даже не понимаю куда вам нужно идти вы куда звоните да на хуй,давай записывай адрес и ещё я буду звонить ещё раз чтоб вам туда попасть короче я не знаю куда и зачем мне это всё надо вот я даже не понимаю куда вам нужно идти вы куда звоните да на хуй,давай записываю адрес и еще я буду звонить еще раз чтобы вам туда попасть короче,0.725,давай записывай адрес и ещё я буду звонить ещё раз чтоб вам туда попасть короче я не знаю куда и зачем мне это всё надо вот я даже не понимаю куда вам нужно идти вы куда звоните да на хуй,давай записывай адрес и еще я буду звонить чтоб вам туда попась короче я не знаю �,0.65
13,вы звоните в областной военкомат и вам говорят что я вам звоню вы звоните,вы звоните в областной военкомат и вам говорят что я вам звоню вы звоните,вы звоните в областной воинкомат и вам говорят что я вам звоню вы звоните,0.07142857142857142,вы звоните в областной военкомат и вам говорят что я вам звоню вы звоните,вы звоните в областной воинкомат и вам говорят что я вам звоню вы звоните,0.07142857142857142
14,и ещё я хочу чтобы вы были моим заместителем вот и мне интересно ваше мнение вы куда звоните то да,и ещё я хочу чтобы вы были моим заместителем вот и мне интересно ваше мнение вы куда звоните то да,и еще я хочу чтобы вы были моим заместителем мне интересно ваше мне интересно ваше мне,0.45,и ещё я хочу чтобы вы были моим заместителем вот и мне интересно ваше мнение вы куда звоните то да,и еще я хочу чтобы вы вы были моим заместителем вот и мне интересно вот и мне интересно ваше мнение вы куда звоните то да,0.3
15,а что за хуйня которая там нарисована,а что за хуйня которая там нарисована,а что захуйня который там нарисована,0.42857142857142855,а что за хуйня которая там нарисована,а что я захуйния которая там нарисована,0.2857142857142857
16,нет нет конечно,нет нет конечно,нет нет конечно,0.0,нет нет конечно,нет нет конечно,0.0
17,а вы мне не представились вы кто вы вообще есть я полковник кондратьев,а вы мне не представились вы кто вы вообще есть я полковник кондратьев,а вы мне не представились вы кто вы вообще есть я полковник кондратьев,0.0,а вы мне не представились вы кто вы вообще есть я полковник кондратьев,а вы мне представились вы кто вы вообще есть я полковник кондратьевно,0.15384615384615385
18,ну я вам скажу ещё раз я ничего не хочу слышать так что,ну я вам скажу ещё раз я ничего не хочу слышать так что,ну я вам скажу еще раз я ничего не хочу слышать так что,0.07692307692307693,ну я вам скажу ещё раз я ничего не хочу слышать так что,ну я вам скажу еще раз ничего не хочу слышать так что,0.15384615384615385
19,давай ещё раз повтори свой текст только без мата,давай ещё раз повтори свой текст только без мата,давай еще раз повтори свой текст только без мата,0.1111111111111111,давай ещё раз повтори свой текст только без мата,давай че раз повторят свой текст только без матом,0.3333333333333333
20,вы откуда звонили то,вы откуда звонили то,вы откуда звонили то,0.0,вы откуда звонили то,вы откуда звонили то,0.0
21,какое училище какой город,какое училище какой город,с какое училище какой город,0.25,какое училище какой город,какое училищ какой город,0.25
22,какой город куда куда,какой город куда куда,какой город куда куда,0.0,какой город куда куда,какой город куда куда,0.0
23,я ещё раз повторяю кто вы мне сказали что нужно прийти,я ещё раз повторяю кто вы мне сказали что нужно прийти,я еще раз повторяю кто вы мне сказали что нужно прийти,0.09090909090909091,я ещё раз повторяю кто вы мне сказали что нужно прийти,я еще раз повторяю кто вы мне сказали что нужно прийти,0.09090909090909091
24,ты чё с ума сошёл там,ты чё с ума сошёл там,ты че с ума сошел там,0.3333333333333333,ты чё с ума сошёл там,то че с ума сошел там,0.5
25,вот так вот ну ладно хорошо я записал телефонограмму начальнику отдела военного комиссариата района город боровский полковник алексеев фамилия имя отчество скажите пожалуйста,вот так вот ну ладно хорошо я записал телефонограмму начальнику отдела военного комиссариата района город боровский полковник алексеев фамилия имя отчество скажите пожалуйста,вот так вот ну ладно хорошо я записал телефоны комментариа района город боровский полковник алексев фа,0.4782608695652174,вот так вот ну ладно хорошо я записал телефонограмму начальнику отдела военного комиссариата района город боровский полковник алексеев фамилия имя отчество скажите пожалуйста,вот так вот ладно хорошо я записал телефоны да начальнику отдела военного коммента района город боровск,0.5217391304347826
26,это ж надо было такое случиться что вы в это время в интернете,это ж надо было такое случиться что вы в это время в интернете,это ж надо было такое случиться что вы в это время в интернете,0.0,это ж надо было такое случиться что вы в это время в интернете,это ж надо было такое случиться что вы это время в интернете,0.07692307692307693
27,дааа дааа ааа вот такой вопрос у вас есть какой то телефон или щас какой нибудь заберут вам продиктуют и отправят я не поняла куда мне идти скажите пожалуйста в военкомат город красногорск адрес где находится отделение милиции города красногорск,дааа дааа ааа вот такой вопрос у вас есть какой то телефон или щас какой нибудь заберут вам продиктуют и отправят я не поняла куда мне идти скажите пожалуйста в военкомат город красногорск адрес где находится отделение милиции города красногорск,да да да да ааа вот такой вопрос у вас �,0.9,дааа дааа ааа вот такой вопрос у вас есть какой то телефон или щас какой нибудь заберут вам продиктуют и отправят я не поняла куда мне идти скажите пожалуйста в военкомат город красногорск адрес где находится отделение милиции города красногорск,да да да ааа вот такой вопрос у вас ест,0.875
28,вы чё издеваетесь надо мной,вы чё издеваетесь надо мной,вы че издеваетесь надо мной,0.2,вы чё издеваетесь надо мной,вы че издеваетесь надо мной,0.2
29,какое отношение имеет к этому иванов александр петрович какой кабинет куда прибыть начальнику второго отдела пятьдесят два четырнадцать,какое отношение имеет к этому иванов александр петрович какой кабинет куда прибыть начальнику второго отдела пятьдесят два четырнадцать,какое отношение имет к этому иванов александр петрович какой кабинет куда прибыть начальнику второго отдела пятьдесят два четырнадцать,0.05555555555555555,какое отношение имеет к этому иванов александр петрович какой кабинет куда прибыть начальнику второго отдела пятьдесят два четырнадцать,какое отношение имет к этому иванов александр петрович какой кабинет куда прибыть начальнику второго отдела пятьдесят два четырнадцать,0.05555555555555555
30,ну вот нууу это всё,ну вот нууу это всё,ну вот но это все,0.4,ну вот нууу это всё,ну вот ну это все,0.4
31,нууу да я думаю что вы хотите от меня,нууу да я думаю что вы хотите от меня,ну да я думаю что вы хотите от меня,0.1111111111111111,нууу да я думаю что вы хотите от меня,ну да я думаю что вы хотите от меня,0.1111111111111111
32,вот я вас прошу ещё раз клади трубку я тебе объясняю что это такое ты же мне звонишь а не я говорю вот послушай пожалуйста,вот я вас прошу ещё раз клади трубку я тебе объясняю что это такое ты же мне звонишь а не я говорю вот послушай пожалуйста,вот я вас прошу еще праз клади трубку я тебя объясняю что это такое ты же мне звонишь а не я говорю вот послушай пожалуйста,0.12,вот я вас прошу ещё раз клади трубку я тебе объясняю что это такое ты же мне звонишь а не я говорю вот послушай пожалуйста,вот вас прошу еще раз кладить трубку я объясняю что это такое ты ж мне звонишь а не я говорю вот послушай пожалуйста,0.2
33,ну так у тебя щас есть чё нибудь,ну так у тебя щас есть чё нибудь,ну так у тебя щас есть че нибудь,0.125,ну так у тебя щас есть чё нибудь,ну так не щас есть че нибудь,0.375
34,неужели вы тоже хотите чтоб щас было так как сегодня утром э это был настоящий петушиный бунт,неужели вы тоже хотите чтоб щас было так как сегодня утром э это был настоящий петушиный бунт,неужели вы тоже хотите чтоб щас было так как сегодня утром э это было настоящий петушина,0.17647058823529413,неужели вы тоже хотите чтоб щас было так как сегодня утром э это был настоящий петушиный бунт,неужели вы тоже хотите чтоб щас было так как сегодня утром это был настоящий петушиный бунт,0.058823529411764705
35,ты чё придуриваешься то,ты чё придуриваешься то,ты че придуриваешься,0.5,ты чё придуриваешься то,да тебе по режиктуешь то,1.0
36,это он сейчас говорит э так как то не очень понятно,это он сейчас говорит э так как то не очень понятно,это он сейчас говорит так как то не очень понятно,0.09090909090909091,это он сейчас говорит э так как то не очень понятно,это он сейчас говорит э так как то не очень понятно,0.0
37,понимаешь ну понимаешь ну и вот так всё это говно,понимаешь ну понимаешь ну и вот так всё это говно,понимаешь ну понимаешь ну и вот есть,0.4,понимаешь ну понимаешь ну и вот так всё это говно,понимаете ну понимаешь ну и вот так все это говно,0.2
38,я же сказал что я никуда не еду,я же сказал что я никуда не еду,я же сказал что я никуда не еду,0.0,я же сказал что я никуда не еду,я ж сказал что я никуда не еду,0.125
39,в общем мне кажется что она всё таки не туда попала я так считаю ну вот,в общем мне кажется что она всё таки не туда попала я так считаю ну вот,в общем мне кажется что она все таки не туда попала я так считаю ну вот,0.0625,в общем мне кажется что она всё таки не туда попала я так считаю ну вот,в общем мне скажу что все таки не туда попала я так считаю ну вот,0.1875
40,ну я ж говорю что я с ними в обнимку мы с ним в одной квартире,ну я ж говорю что я с ними в обнимку мы с ним в одной квартире,ну я ж говорю что я с ним в обнимку мы с ним в одной квартире,0.0625,ну я ж говорю что я с ними в обнимку мы с ним в одной квартире,ну я ж говорю что я с ним в обнимку мы с ним в одной квартире,0.0625
41,у нас в военкомате есть такой человек,у нас в военкомате есть такой человек,у нас в военнокомате есть такой человек,0.14285714285714285,у нас в военкомате есть такой человек,у нас в военнотое есть такой человек,0.14285714285714285
42,у тебя телефончик какой нибудь сохранился или ещё что-нибудь,у тебя телефончик какой нибудь сохранился или ещё что-нибудь,у тебя телефончик какой нибудь сохранился или еще что убивать,0.3333333333333333,у тебя телефончик какой нибудь сохранился или ещё что-нибудь,у тебя телефончик какой нибудь сохранился или еще что нибудь,0.3333333333333333
43,давай приезжай сюда ща,давай приезжай сюда ща,давай приезжай сюда щас,0.25,давай приезжай сюда ща,давайте за той,1.0
44,вы кто такой спрашиваю вас дежурный по отделу военного комиссариата город красногорск,вы кто такой спрашиваю вас дежурный по отделу военного комиссариата город красногорск,вы кто такой спрашиваю вас дежурный по отделу военного комментариа город красногорск,0.08333333333333333,вы кто такой спрашиваю вас дежурный по отделу военного комиссариата город красногорск,вы кто такой спрашиваю вас дежурный по отделу военного коррод красногорск,0.16666666666666666
45,и что дальше с ним будет дааа он даже не заметит как его трахнули в очко,и что дальше с ним будет дааа он даже не заметит как его трахнули в очко,и что дальше с ним будет да он даже не заметит как его трахнули в очко,0.0625,и что дальше с ним будет дааа он даже не заметит как его трахнули в очко,и что дальше с ним будет да он даже не заметит как его трахнули в очко,0.0625
46,всё было хорошо дааа,всё было хорошо дааа,все было хорошо да,0.5,всё было хорошо дааа,все было хорошо да,0.5
47,какого хуёва какого хуева у меня нет никаких данных мне ничего не говорили ничё и вообще я никуда не звонила и никуда вообще не звоню,какого хуёва какого хуева у меня нет никаких данных мне ничего не говорили ничё и вообще я никуда не звонила и никуда вообще не звоню,какой куева какого хуева у меня нет никаких данных мне ничего не говорили ничего не звоню,0.48,какого хуёва какого хуева у меня нет никаких данных мне ничего не говорили ничё и вообще я никуда не звонила и никуда вообще не звоню,какого хуева какого хуева у меня нет никаких данных мне ничего не говорили ничего не говорили не звонила и никакой данных мне ничего не го�,0.44
48,так это же замечательно,так это же замечательно,так это же замечательно,0.0,так это же замечательно,в так это же замечательно,0.25
49,а вы кто по паспорту то,а вы кто по паспорту то,а вы кто по паспорту то,0.0,а вы кто по паспорту то,а вы кто по паспорту то,0.0
50,а вы откуда знаете то,а вы откуда знаете то,а вы откуда знаете,0.2,а вы откуда знаете то,а вы откуда знаете то,0.0
51,вы кому звоните вы куда звоните а вы кто,вы кому звоните вы куда звоните а вы кто,вы кому звоните вы куда звоните а вы кто,0.0,вы кому звоните вы куда звоните а вы кто,вы кому звоните вы куда звоните а вы кто,0.0
52,у него там с головой не дружишь нууу я не пойму кто вы по голосу то,у него там с головой не дружишь нууу я не пойму кто вы по голосу то,у него там с головой не дружишь ну я не пойму кто вы по голосу то,0.0625,у него там с головой не дружишь нууу я не пойму кто вы по голосу то,вот он я с головой не дружишь ну я не пойму кто вы по голосу то,0.25
53,не понял а вы с кем хотите общаться,не понял а вы с кем хотите общаться,не понял а вы с кем хотите общаться,0.0,не понял а вы с кем хотите общаться,не понял а вы с кем хотите общаться,0.0
54,вы куда звоните я не пойму вы куда позвонили александра петровича,вы куда звоните я не пойму вы куда позвонили александра петровича,вы куда звоните я не пойму вы куда позвонили александра петровича,0.0,вы куда звоните я не пойму вы куда позвонили александра петровича,вы куда звоните я не пойму вы куда позвонили александра петровича,0.0
55,ну ты и козёл блять а ты козел я тебе говорю что вы не козёёб бля,ну ты и козёл блять а ты козел я тебе говорю что вы не козёёб бля,ну ты козел блять а ты козел я тебе говорю что вы не козеб блять,0.25,ну ты и козёл блять а ты козел я тебе говорю что вы не козёёб бля,даже и козел блять а ты козел я тебе говорю что вы не козел,0.3125
56,и как бы ну вот так ну понимаешь ну,и как бы ну вот так ну понимаешь ну,и как бы ну вот так ну понимаешь ну,0.0,и как бы ну вот так ну понимаешь ну,и как бы ну вот так ну понимаешь ну,0.0
57,да что там говорить да ну просто я хочу узнать,да что там говорить да ну просто я хочу узнать,да что там говорить да ну просто я хочу узнать,0.0,да что там говорить да ну просто я хочу узнать,да что там говорить да ну просто я хочу узнать,0.0
58,ну а ты чё не ебанутый блять,ну а ты чё не ебанутый блять,ну а ты че не банутый блять,0.2857142857142857,ну а ты чё не ебанутый блять,да а ты че не банутый блять,0.42857142857142855
59,нет ну вот мы хотим чтобы ты стал её администратором клуба да ты хочешь быть таким,нет ну вот мы хотим чтобы ты стал её администратором клуба да ты хочешь быть таким,нет ну вот мы хотим чтоб ты стал ее администратором клуба да ты хочешь быть таким,0.125,нет ну вот мы хотим чтобы ты стал её администратором клуба да ты хочешь быть таким,нет ну вот мы хотим чтобы ты стал ее администратором клуба да ты хочешь быть таким,0.0625
60,ну я вот только начинаю писать что мне очень интересно а вам ну ну,ну я вот только начинаю писать что мне очень интересно а вам ну ну,ну я вот только начинаю писать что мне очень интересно а вам ну ну ну ну,0.14285714285714285,ну я вот только начинаю писать что мне очень интересно а вам ну ну,ну я вот только начинаю писать что мне очень интересно а вам ну,0.07142857142857142
61,вот и хорошо вот так вот как то,вот и хорошо вот так вот как то,вот и хорошо вот так вот как то,0.0,вот и хорошо вот так вот как то,вот и хорошо вот так вот как то,0.0
62,нет я хочу с вами поговорить,нет я хочу с вами поговорить,нет я хочу с вами поговорить,0.0,нет я хочу с вами поговорить,нет я хочу с вами поговорить,0.0
63,я не пойму вы с кем разговариваете то,я не пойму вы с кем разговариваете то,я не пойму вы с кем разговариваете то,0.0,я не пойму вы с кем разговариваете то,я не по вы с кем разговариваете то,0.125
64,вы не туда попали а куда вы звоните,вы не туда попали а куда вы звоните,ну вы не туда попали куда вы звоните,0.25,вы не туда попали а куда вы звоните,вы не туда попали а куда вы звоните,0.0
65,я вас слушаю,я вас слушаю,я вас слушаю,0.0,я вас слушаю,я вас слушаю,0.0
66,нууу я не понимаю вы о чём говорите,нууу я не понимаю вы о чём говорите,ну я не понимаю вы очем говорите,0.375,нууу я не понимаю вы о чём говорите,ну я не понимаю вы о чем говорите,0.25
67,это ещё кто говорит я ничё не знаю,это ещё кто говорит я ничё не знаю,это еще кто говорить ничего не знаю,0.5,это ещё кто говорит я ничё не знаю,это еще кто говорит и ничего не знаю,0.375
68,ну ты и придурок что ли ты чёёётко ну всё понял давай записывай дальше я ещё раз спрашиваю тебя,ну ты и придурок что ли ты чёёётко ну всё понял давай записывай дальше я ещё раз спрашиваю тебя,ну ты и придурок что ли четко ну все понял давай записывай дальше я еще раз спрашиваю тебя,0.21052631578947367,ну ты и придурок что ли ты чёёётко ну всё понял давай записывай дальше я ещё раз спрашиваю тебя,ну ты и придурок что ли ты чеётко ну все понял давай записывают дальше я еще раз спрашиваю тебя,0.21052631578947367
69,какую песню какую ещё песню,какую песню какую ещё песню,какой песню какую еще песлую,0.6,какую песню какую ещё песню,какую песню какую еще песню,0.2
70,ну вы же знаете в какой стране у нас коммунизм,ну вы же знаете в какой стране у нас коммунизм,ну вы же знаете в какой страница от какой стране у нас коммунизм,0.3,ну вы же знаете в какой стране у нас коммунизм,ну вы же знаете в какой стране у нас коммунизм,0.0
71,я говорю куда прибыть то,я говорю куда прибыть то,я говорю куда прибыть то,0.0,я говорю куда прибыть то,я говорю куда прибыть то,0.0
72,не знаю у меня всё есть я вам перезвоню вы не успеете трубку снять уже,не знаю у меня всё есть я вам перезвоню вы не успеете трубку снять уже,не знаю у меня все есть я вам перезвоню вы не успете трубку снять уже,0.13333333333333333,не знаю у меня всё есть я вам перезвоню вы не успеете трубку снять уже,не знаю у меня все есть я вам перезвоню вы не успете трубку снять уже,0.13333333333333333
73,я же сказала,я же сказала,я же сказала,0.0,я же сказала,же сказала,0.3333333333333333
74,ну я же вам объясняю что это невозможно так как это фейк,ну я же вам объясняю что это невозможно так как это фейк,ну я же вам объясняю что это невозможно так как это фейк,0.0,ну я же вам объясняю что это невозможно так как это фейк,ну я же вам объясняю что это невозможно так как и перек,0.16666666666666666
75,вы знаете что ээммм я вам ещё раз повторяю,вы знаете что ээммм я вам ещё раз повторяю,вы знаете что э вы еще раз повторяю,0.4444444444444444,вы знаете что ээммм я вам ещё раз повторяю,вы знаете что э вам еще раз повторяю,0.3333333333333333
76,это же эээ это пиздец блядь,это же эээ это пиздец блядь,это же ээ это пиздец блять,0.3333333333333333,это же эээ это пиздец блядь,это же э это пиздец блять,0.3333333333333333
77,а если я найду этого человека,а если я найду этого человека,а если я найду этого человека,0.0,а если я найду этого человека,а если я найду этого человека,0.0
78,это у нас дежурный по отделу,это у нас дежурный по отделу,это в жернуй поделу,0.8333333333333334,это у нас дежурный по отделу,это у нас дежурный по отдела,0.16666666666666666
79,да ну давай ещё раз попробуй,да ну давай ещё раз попробуй,да ну давай еще раз попробуйте,0.3333333333333333,да ну давай ещё раз попробуй,да ну давай еще раз попробуйте,0.3333333333333333
80,эээ не я вас слушаю я дежурный по отделу военного комиссариата новомосковск,эээ не я вас слушаю я дежурный по отделу военного комиссариата новомосковск,не не я вас слушаю я дежурный по отделу военного комисариата новомосковской,0.25,эээ не я вас слушаю я дежурный по отделу военного комиссариата новомосковск,ну я вас слушаю дежурный по отделу воинад комментариата новомосковска,0.5
81,так а кто такие коваленко,так а кто такие коваленко,так а кто такие коваленко,0.0,так а кто такие коваленко,так а кто такие коваленко,0.0
82,в девять часов утра,в девять часов утра,в девять часов утра,0.0,в девять часов утра,девять часов утра,0.25
83,ну да да вот так я вам говорю потому шо вы мне звоните,ну да да вот так я вам говорю потому шо вы мне звоните,ну да вот вам говорите потому что вы мне звоните,0.38461538461538464,ну да да вот так я вам говорю потому шо вы мне звоните,ну да да вот так я вам говорю потому что вы мне звоните,0.07692307692307693
84,время пошло,время пошло,на время пошло,0.5,время пошло,время пошло,0.0
85,я не понял ты чё издеваешься надо мной или нет я тебя спрашиваю,я не понял ты чё издеваешься надо мной или нет я тебя спрашиваю,я не понял ты че из между эти станк не приведет надо мной или нет я тебя спрашиваю,0.5384615384615384,я не понял ты чё издеваешься надо мной или нет я тебя спрашиваю,я не понял ты че издеваешься надо мной или нет я тебе спрашиваю,0.15384615384615385
86,всё записал,всё записал,все записал,0.5,всё записал,все записал,0.5
87,ну вы не туда попали это в областной военкомат,ну вы не туда попали это в областной военкомат,ну вы не туда попали это в областной информации,0.1111111111111111,ну вы не туда попали это в областной военкомат,ну вы не туда попали это в областной банком,0.1111111111111111
88,так а чё вы хотите от меня,так а чё вы хотите от меня,а че вы хотите от меня,0.2857142857142857,так а чё вы хотите от меня,так че вы хотите от меня,0.2857142857142857
89,нууу я ж тебя прошу я всё понимаю но всё таки лучше бы вам вообще не звонить,нууу я ж тебя прошу я всё понимаю но всё таки лучше бы вам вообще не звонить,я ж тебя прошу я все понимаю все таки лучше бы вам вообще не звонить,0.23529411764705882,нууу я ж тебя прошу я всё понимаю но всё таки лучше бы вам вообще не звонить,ну я ж тебя прошу же понимаю но все таки лучше бы вам вообще не звонить,0.23529411764705882
90,я тебе скажу что у меня с тобой полный капец как ыы ты мне скажи а чё ты хочешь,я тебе скажу что у меня с тобой полный капец как ыы ты мне скажи а чё ты хочешь,я скажу что у меня с тобой полный капет мне скажи ты хочешь,0.3684210526315789,я тебе скажу что у меня с тобой полный капец как ыы ты мне скажи а чё ты хочешь,я тебе скажу что у меня с тобой полный капец как ы ты мне скажу а че ты хочешь,0.15789473684210525
91,давай так давай давай так и быть давай у меня времени нет вот поэтому давай поговорим щас,давай так давай давай так и быть давай у меня времени нет вот поэтому давай поговорим щас,давай так давай давай мне говорить мне вот поэтому да вам поговорим щас,0.5882352941176471,давай так давай давай так и быть давай у меня времени нет вот поэтому давай поговорим щас,давай так давай нет вот времяно нет вот поэтому давай поговорим щас,0.47058823529411764
